Name  ,Tclass,Filming,Event
Great Victoria Desert Nature Reserve,N/A,414RECOTH,414RECOTH
Helena and Aurora Range Conservation Park,N/A,414RECOTH,414RECOTH
Neale Junction Nature Reserve,N/A,414RECOTH,414RECOTH
Plumridge Lakes Nature Reserve,N/A,414RECOTH,414RECOTH
Queen Victoria Spring Nature Reserve,N/A,414RECOTH,414RECOTH
Rowles Lagoon Conservation Park,N/A,414RECOTH,414RECOTH
Wallaroo Rock Conservation Park,N/A,414RECOTH,414RECOTH
Wanjarri Nature Reserve,N/A,414RECOTH,414RECOTH
Yeo Lake Nature Reserve,N/A,414RECOTH,414RECOTH
Alexander Morrison National Park,N/A,420NBHRV,420NBHRV2
Badgingarra National Park,N/A,420NBHRV,420NBHRV2
Drovers Cave National Park,N/A,420NBHRV,420NBHRV2
Jurien Bay Marine Park,N/A,420NBHRV,420NBHRV2
Lesueur National Park,NNP308 GST,420NBHRV,420NBHRV2
Nambung National Park,NNP307 GST,420NBHRV,420NBHRV2
Stockyard Gully Reserve,N/A,420NBHRV,420NBHRV2
Tathra National Park,N/A,420NBHRV,420NBHRV2
Watheroo National Park,N/A,420NBHRV,420NBHRV2
Avon Valley National Park,NNP439 GST,GGE423 Exempt,Pending
Beelu National Park,N/A,GGE423 Exempt,Pending
Gooseberry Hill National Park,N/A,GGE423 Exempt,Pending
Greenmount National Park,N/A,GGE423 Exempt,Pending
Helena National Park,N/A,GGE423 Exempt,Pending
John Forrest National Park,NNP440 GST,GGE423 Exempt,Pending
Kalamunda National Park,N/A,GGE423 Exempt,Pending
Korung National Park,N/A,GGE423 Exempt,Pending
Lane Poole Reserve,NNP441 GST,GGE423 Exempt,Pending
Lesmurdie National Park,N/A,GGE423 Exempt,Pending
Midgegooroo National Park,N/A,GGE423 Exempt,Pending
Perth Hills District State Forest,N/A,GGE423 Exempt,Pending
Serpentine National Park,NNP442 GST,GGE423 Exempt,Pending
Walyunga National Park,NNP443 GST,GGE423 Exempt,Pending
Wandoo National Park,N/A,GGE423 Exempt,Pending
Barrow Island Marine Management Area,N/A,423RECOTHER,423RECOTHER
Barrow Island Marine Park,N/A,423RECOTHER,423RECOTHER
Collier Range National Park,N/A,423RECOTHER,423RECOTHER
Dampier Archipelago (mixed tenure),N/A,423RECOTHER,423RECOTHER
Karijini National Park,NNP361,423RECOTHER,423RECOTHER
Karlamilyi National Park,N/A,423RECOTHER,423RECOTHER
Millstream Chichester National Park,NNP362,423RECOTHER,423RECOTHER
Montebello Islands Marine Park,N/A,423RECOTHER,423RECOTHER
Murujuga National Park,N/A,423RECOTHER,423RECOTHER
Rudall River National Park,N/A,423RECOTHER,423RECOTHER
Banyowla Regional Park,N/A,430APCOL729,430APCOL729
Beeliar Regional Park,N/A,430APCOL729,430APCOL729
Canning Regional Park,N/A,430APCOL729,430APCOL729
Herdsman Lake Regional Park,N/A,430APCOL729,430APCOL729
Jandakot Regional Park,N/A,430APCOL729,430APCOL729
Matilda Bay Reserve,N/A,430APCOL729,430APCOL729
Mundy Regional Park,N/A,430APCOL729,430APCOL729
Rockingham Lakes Regional Park,N/A,430APCOL729,430APCOL729
Woodman Point Regional Park,N/A,430APCOL729,430APCOL729
Wooroloo Regional Park,N/A,430APCOL729,430APCOL729
Wungong Regional Park,N/A,430APCOL729,430APCOL729
Yellagonga Regional Park,N/A,430APCOL729,430APCOL729
Dirk Hartog Island National Park,N/A,421NRGCF1,421NRGEF1
Francois Peron National Park,NNP306 GST,421NRGCF1,421NRGEF1
Hamelin Pool Marine Nature Reserve,N/A,421NRGCF1,421NRGEF1
Kennedy Range National Park,N/A,421NRGCF1,421NRGEF1
Monkey Mia Reserve,na,421NRGCF1,421NRGEF1
Mt Augustus National Park,N/A,421NRGCF1,421NRGEF1
Shark Bay Marine Park,N/A,421NRGCF1,421NRGEF1
Shell Beach Conservation Park,N/A,421NRGCF1,421NRGEF1
Creery Wetlands Nature Reserve,na,408PM061FR,Pending
Goegrup Lake Nature Reserve,na,408PM061FR,Pending
Lake Lake McClarty Nature Reserve,na,408PM061FR,Pending
Len Howard Conservation Park,na,408PM061FR,Pending
Marmion Marine Park,N/A,408PM061FR,Pending
Moore River National Park,N/A,408PM061FR,Pending
Neerabup National Park,N/A,408PM061FR,Pending
Penguin Island Conservation Park,N/A,408PM061FR,Pending
Samphire Cove Nature Reserve,na,408PM061FR,Pending
Shoalwater Islands Marine Park,N/A,408PM061FR,Pending
Swan Coastal District State Forest,N/A,408PM061FR,Pending
Swan Estuary Marine Park,N/A,408PM061FR,Pending
Wilbinga Conservation Park,na,408PM061FR,Pending
Yalgorup National Park,N/A,408PM061FR,Pending
Yanchep National Park,NNP323 GST,408PM061FR,Pending
Leschenault Peninsula Conservation Park,N/A,404798RO,Pending
Wellington District State Forest,N/A,404798RO,Pending
Wellington National Park,N/A,404798RO,Pending
Adele Island Nature Reserve,N/A,410RR000,Pending
Browse Island Nature Reserve,N/A,410RR000,Pending
Geikie Gorge National Park,N/A,410RR000,Pending
King Leopold Ranges Conservation Park,NNP421 GST,410RR000,Pending
Lacepede Islands Nature Reserve,N/A,410RR000,Pending
Lalang-garram/Camden Sound Marine Park,N/A,410RR000,Pending
Lalang-garram/Horizontal Falls Marine Park,N/A,410RR000,Pending
North Lalang-garram Marine Park,N/A,410RR000,Pending
Rowley Shoals Marine Park,N/A,410RR000,Pending
Scott Reef Nature Reserve,N/A,410RR000,Pending
Tunnel Creek National Park,NNP402 GST,410RR000,Pending
Windjana Gorge National Park,NNP402 GST,410RR000,Pending
Billycatting Nature Reserve,N/A,Pending,Pending
Bruce Rock Nature Reserve,N/A,Pending,Pending
Coarin Nature Reserve,N/A,Pending,Pending
Dingo Rocks Nature Reserve,N/A,Pending,Pending
Dryandra Woodland State Forest,N/A,Pending,Pending
Frog Rock Nature Reserve,N/A,Pending,Pending
Gathercole Nature Reserve,N/A,Pending,Pending
Great Southern District State Forest,N/A,Pending,Pending
Gundaring Nature Reserve,N/A,Pending,Pending
Kokerbin Nature Reserve,N/A,Pending,Pending
Korrelocking Nature Reserve,N/A,Pending,Pending
Lake Campion Nature Reserve,N/A,Pending,Pending
Lake Cronin Nature Reserve,N/A,Pending,Pending
Mt Caroline Nature Reserve,N/A,Pending,Pending
Mt Hampton Nature Reserve,N/A,Pending,Pending
Mt Stirling Nature Reserve,N/A,Pending,Pending
Namelcatchem Nature Reserve,N/A,Pending,Pending
Nangeen Nature Reserve,N/A,Pending,Pending
Sandford Rocks Nature Reserve,N/A,Pending,Pending
Totagin Nature Reserve,N/A,Pending,Pending
Wongan Hills Nature Reserve,N/A,Pending,Pending
Yanneymooning Nature Reserve,N/A,Pending,Pending
Yorkrakine Nature Reserve,N/A,Pending,Pending
